Name,ID,Position,Club,Points,Value,Starter,Substitute
J. Marchand,110,HOOKER,France,27,13,FALSE,TRUE
B. Earl,233,BACK-ROW,England,26,20,TRUE,FALSE
F. Russell,83,FLY-HALF,Scotland,19,20,TRUE,FALSE
C. Baille,105,PROP,France,8,13,FALSE,TRUE
E. Gailleton,703,CENTRE,France,22,11,FALSE,TRUE
D. van der Merwe,298,BACK-THREE,Scotland,27,19,TRUE,FALSE
J. Lowe,420,BACK-THREE,Ireland,41,18,TRUE,FALSE
D. Sheehan,324,HOOKER,Ireland,25,18,FALSE,TRUE
C. Doris,182,BACK-ROW,Ireland,25,18,TRUE,FALSE
H. Jones,82,CENTRE,Scotland,66,16,TRUE,FALSE
T. Beirne,291,SECOND-ROW,Ireland,35,17,TRUE,FALSE
T. Reffell,677,BACK-ROW,Wales,29,17,FALSE,TRUE
M. Smith,361,FLY-HALF,England,29,17,TRUE,FALSE
P. Garbisi,277,FLY-HALF,Italy,17,18,TRUE,FALSE
N. Le Garrec,702,SCRUM-HALF,France,5,12,FALSE,TRUE
B. Kinghorn,98,BACK-THREE,Scotland,28,17,TRUE,FALSE
J. Morgan,339,BACK-ROW,Wales,49,16,TRUE,FALSE
J. Gibson-Park,283,SCRUM-HALF,Ireland,42,16,TRUE,FALSE
D. Graham,100,BACK-THREE,Scotland,41,16,TRUE,FALSE
M. Itoje,145,SECOND-ROW,England,16,17,TRUE,FALSE
J. Dempsey,690,BACK-ROW,Scotland,17,16,FALSE,TRUE
O. Jegou,1320,BACK-ROW,France,5,10,FALSE,TRUE
A. Wainwright,28,BACK-ROW,Wales,0,16,TRUE,FALSE
G. Colombe,306,PROP,France,7,10,FALSE,TRUE
T. Menoncello,400,CENTRE,Italy,39,15,TRUE,FALSE
M. Ioane,389,BACK-THREE,Italy,12,16,TRUE,FALSE
A. Capuozzo,411,BACK-THREE,Italy,14,16,TRUE,FALSE
B. Aki,62,CENTRE,Ireland,31,15,TRUE,FALSE
D. Jenkins,682,SECOND-ROW,Wales,35,15,TRUE,FALSE
O. Lawrence,314,CENTRE,England,28,15,TRUE,FALSE
M. Lamaro,395,BACK-ROW,Italy,23,15,TRUE,FALSE
R. Darge,351,BACK-ROW,Scotland,52,14,TRUE,FALSE
A. Porter,74,PROP,Ireland,24,15,TRUE,FALSE
T. Curry,150,BACK-ROW,England,50,14,TRUE,FALSE
J. van der Flier,68,BACK-ROW,Ireland,24,15,TRUE,FALSE
M. Guillard,1341,SECOND-ROW,France,12,8,FALSE,TRUE
T. Williams,27,SCRUM-HALF,Wales,10,15,TRUE,FALSE
T. Freeman,368,BACK-THREE,England,32,14,TRUE,FALSE
L. Cannone,710,BACK-ROW,Italy,22,14,TRUE,FALSE
J. Brex,393,CENTRE,Italy,27,14,TRUE,FALSE
B. White,352,SCRUM-HALF,Scotland,17,14,TRUE,FALSE
M. Hansen,322,BACK-THREE,Ireland,19,14,TRUE,FALSE
Z. Fagerson,93,PROP,Scotland,19,14,TRUE,FALSE
J. Crowley,705,FLY-HALF,Ireland,6,14,FALSE,TRUE
M. Fagerson,247,BACK-ROW,Scotland,20,14,TRUE,FALSE
E. Genge,149,PROP,England,14,14,TRUE,FALSE
G. Ringrose,72,CENTRE,Ireland,17,14,TRUE,FALSE
R. Henshaw,64,CENTRE,Ireland,6,14,FALSE,TRUE
F. Ruzza,45,SECOND-ROW,Italy,15,14,TRUE,FALSE
A. Mitchell,428,SCRUM-HALF,England,11,14,TRUE,FALSE
H. Auradou,1319,SECOND-ROW,France,7,8,FALSE,TRUE
H. Keenan,292,BACK-THREE,Ireland,14,14,TRUE,FALSE
L. Williams,9,BACK-THREE,Wales,14,14,TRUE,FALSE
G. Nicotera,401,HOOKER,Italy,23,13,TRUE,FALSE
E. Ashman,354,HOOKER,Scotland,17,13,FALSE,TRUE
R. Kelleher,183,HOOKER,Ireland,23,13,TRUE,FALSE
B. Curry,685,BACK-ROW,England,20,13,TRUE,FALSE
G. Lucchesi,279,HOOKER,Italy,13,13,FALSE,TRUE
B. Thomas,1306,CENTRE,Wales,21,13,TRUE,FALSE
O. Chessum,369,SECOND-ROW,England,6,13,FALSE,TRUE
N. Tompkins,154,CENTRE,Wales,21,13,TRUE,FALSE
C. Cunningham-South,1271,BACK-ROW,England,4,13,FALSE,TRUE
G. Martin,1247,SECOND-ROW,England,15,13,TRUE,FALSE
N. Cannone,173,SECOND-ROW,Italy,10,13,FALSE,TRUE
A. Dupont,113,SCRUM-HALF,France,31,20,TRUE,FALSE
S. Negri,48,BACK-ROW,Italy,33,12,TRUE,FALSE
T. Ramos,108,BACK-THREE,France,37,19,TRUE,FALSE
P. Schoeman,342,PROP,Scotland,10,13,TRUE,FALSE
D. Fischetti,171,PROP,Italy,26,12,TRUE,FALSE
J. Ryan,152,SECOND-ROW,Ireland,10,13,TRUE,FALSE
G. Alldritt,118,BACK-ROW,France,71,17,TRUE,FALSE
J. Conan,286,BACK-ROW,Ireland,15,12,FALSE,TRUE
J. Adams,18,BACK-THREE,Wales,10,13,TRUE,FALSE
R. Ntamack,116,FLY-HALF,France,13,18,TRUE,FALSE
R. Baird,258,BACK-ROW,Ireland,16,12,TRUE,FALSE
E. Dee,17,HOOKER,Wales,14,12,FALSE,TRUE
F. Cros,206,BACK-ROW,France,17,16,TRUE,FALSE
L. Cowan-Dickie,144,HOOKER,England,14,12,TRUE,FALSE
